Períodos	IPC_1	Petroleo_1	Cobre_6	Desempleo_12	IPC
2011-03-01	0,23	89,53	3,50	9,23	0,76
2011-04-01	0,76	102,92	3,76	8,84	0,32
2011-05-01	0,32	109,96	3,84	9,09	0,40
2011-06-01	0,40	101,28	4,15	8,66	0,17
2011-07-01	0,17	96,25	4,33	8,51	0,13
2011-08-01	0,13	97,31	4,48	8,44	0,16
2011-09-01	0,16	86,32	4,32	8,12	0,50
2011-10-01	0,50	85,58	4,30	7,81	0,49
2011-11-01	0,49	86,41	4,05	7,23	0,32
2011-12-01	0,32	97,12	4,10	7,21	0,61
2012-01-01	0,61	98,56	4,36	7,44	0,09
2012-02-01	0,09	100,29	4,10	7,44	0,39
2012-03-01	0,39	102,21	3,77	7,55	0,16
2012-04-01	0,16	106,15	3,33	7,21	0,05
2012-05-01	0,05	103,28	3,43	7,30	0,03
2012-06-01	0,03	94,68	3,43	7,21	-0,30
2012-07-01	-0,30	82,36	3,65	7,55	-0,01
2012-08-01	-0,01	87,90	3,82	7,51	0,22
2012-09-01	0,22	94,11	3,84	7,63	0,77
2012-10-01	0,77	94,51	3,75	7,44	0,56
2012-11-01	0,56	89,52	3,59	7,33	-0,45
2012-12-01	-0,45	86,68	3,37	6,81	-0,03
2013-01-01	-0,03	88,19	3,44	6,85	0,18
2013-02-01	0,18	94,74	3,40	6,53	0,12
2013-03-01	0,12	95,27	3,66	6,80	0,38
2013-04-01	0,38	92,91	3,66	6,76	-0,48
2013-05-01	-0,48	92,02	3,49	6,94	-0,01
2013-06-01	-0,01	94,76	3,61	6,78	0,64
2013-07-01	0,64	95,79	3,65	6,66	0,26
2013-08-01	0,26	104,70	3,66	6,54	0,24
2013-09-01	0,24	106,55	3,48	6,58	0,54
2013-10-01	0,54	106,25	3,27	6,69	0,14
2013-11-01	0,14	100,50	3,28	6,36	0,37
2013-12-01	0,37	93,89	3,18	6,22	0,60
2014-01-01	0,60	97,85	3,13	6,12	0,18
2014-02-01	0,18	94,86	3,26	6,35	0,49
2014-03-01	0,49	100,73	3,25	6,43	0,84
2014-04-01	0,84	100,57	3,26	6,54	0,62
2014-05-01	0,62	102,08	3,21	6,54	0,34
2014-06-01	0,34	101,86	3,27	6,26	0,05
2014-07-01	0,05	105,24	3,31	5,88	0,23
2014-08-01	0,23	102,94	3,24	5,85	0,32
2014-09-01	0,32	96,38	3,02	5,86	0,84
2014-10-01	0,84	93,22	3,03	5,95	1,04
2014-11-01	1,04	84,40	3,12	5,86	0,02
2014-12-01	0,02	75,81	3,09	5,78	-0,41
2015-01-01	-0,41	59,26	3,22	6,23	0,08
2015-02-01	0,08	47,27	3,18	6,18	0,35
2015-03-01	0,35	50,61	3,12	6,50	0,63
2015-04-01	0,63	47,78	3,06	6,14	0,57
2015-05-01	0,57	54,44	3,04	6,32	0,18
2015-06-01	0,18	59,27	2,91	6,52	0,48
2015-07-01	0,48	59,80	2,64	6,59	0,42
2015-08-01	0,42	50,90	2,59	6,83	0,68
2015-09-01	0,68	42,86	2,69	6,76	0,51
2015-10-01	0,51	45,45	2,73	6,56	0,41
